"","record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","genus","species","taxa","plot_type"
"1",1,7,16,1977,2,"NL","M",32,NA,"Neotoma","albigula","Rodent","Control"
"2",588,2,18,1978,2,"NL","M",NA,218,"Neotoma","albigula","Rodent","Control"
"3",1453,11,5,1978,2,"NL","M",NA,218,"Neotoma","albigula","Rodent","Control"
"4",3000,5,18,1980,2,"NL","F",31,87,"Neotoma","albigula","Rodent","Control"
"5",5558,3,29,1982,2,"NL","M",33,211,"Neotoma","albigula","Rodent","Control"
"6",6500,8,16,1982,2,"NL","F",33,152,"Neotoma","albigula","Rodent","Control"
"7",8657,11,13,1983,2,"NL","F",32,158,"Neotoma","albigula","Rodent","Control"
"8",9605,9,30,1984,2,"NL","F",32,173,"Neotoma","albigula","Rodent","Control"
"9",11215,12,8,1985,2,"NL","F",32,160,"Neotoma","albigula","Rodent","Control"
"10",11879,9,7,1986,2,"NL","F",32,135,"Neotoma","albigula","Rodent","Control"
"11",12729,4,26,1987,2,"NL","M",32,270,"Neotoma","albigula","Rodent","Control"
"12",13434,9,27,1987,2,"NL","M",33,197,"Neotoma","albigula","Rodent","Control"
"13",14740,7,15,1988,2,"NL","F",NA,NA,"Neotoma","albigula","Rodent","Control"
"14",17230,2,25,1990,2,"NL","M",33,218,"Neotoma","albigula","Rodent","Control"
"15",18680,5,13,1991,2,"NL","F",33,185,"Neotoma","albigula","Rodent","Control"
"16",20466,10,18,1992,2,"NL","F",33,135,"Neotoma","albigula","Rodent","Control"
"17",21507,4,10,1994,2,"NL","M",NA,180,"Neotoma","albigula","Rodent","Control"
"18",24703,11,16,1996,2,"NL","M",33,148,"Neotoma","albigula","Rodent","Control"
"19",27326,12,28,1997,2,"NL","F",33,181,"Neotoma","albigula","Rodent","Control"
"20",28328,8,22,1998,2,"NL","F",30,143,"Neotoma","albigula","Rodent","Control"
"21",29572,5,15,1999,2,"NL","F",33,154,"Neotoma","albigula","Rodent","Control"
